UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,ESTIM_POB,IDH_2019,%POBREZA,%POBREZAEXT,TASA_NOLEER,TASA_INDIGENA,TASA_NOAFILSALUD,TASA_MAS80,UNA_DOSIS,DOS_DOSIS,TRES_DOSIS
060608,CAJAMARCA,CUTERVO,SAN ANDRES DE CUTERVO,5303,0.34536181517959,0.56361401,0.3664004,0.158676893576222,0.00191754554170662,0.0534515819750719,0.0198001131435037,3177,2810,372
060609,CAJAMARCA,CUTERVO,SAN JUAN DE CUTERVO,2020,0.37655069933607,0.64692878,0.3469833,0.164693218514532,0.00107642626480086,0.0414424111948332,0.0237623762376238,1354,1030,57
060610,CAJAMARCA,CUTERVO,SAN LUIS DE LUCMA,4073,0.291987208869314,0.55112222,0.4635741,0.193333333333333,0.000333333333333333,0.033,0.0233243309599804,2099,2010,407
060611,CAJAMARCA,CUTERVO,SANTA CRUZ,2959,0.319556903325725,0.68561045,0.4980612,0.187643020594966,0.0026697177726926,0.0465293668954996,0.0266982088543427,1730,1654,187
060612,CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,5689,0.27098286260304,0.6684112,0.4763655,0.219315039353329,0.00404169325675388,0.0453095086151883,0.0244331165406926,3417,3035,157
060613,CAJAMARCA,CUTERVO,SANTO TOMAS,8057,0.356592195034307,0.70070425,0.5728386,0.179450486548369,0.00157412707498569,0.0495134516313681,0.0245749038103512,5479,5238,1091
060614,CAJAMARCA,CUTERVO,SOCOTA,10840,0.334464667320305,0.5488722,0.3873522,0.170974155069583,0.00254031367351447,0.0396509829909432,0.0261992619926199,6753,6314,1429
060615,CAJAMARCA,CUTERVO,TORIBIO CASANOVA,1302,0.306481975589208,0.38007366,0.3759187,0.223318385650224,0.00717488789237668,0.0430493273542601,0.0391705069124424,731,698,264
060701,CAJAMARCA,HUALGAYOC,BAMBAMARCA,82467,0.348487155802294,0.51920921,0.2452376,0.255520504731861,0.100145210555305,0.141588636856776,0.0238883432160743,46532,40171,4345
060702,CAJAMARCA,HUALGAYOC,CHUGUR,3632,0.376208491343913,0.60037625,0.2437871,0.156849315068493,0.0585616438356164,0.291780821917808,0.0341409691629956,2332,2135,633
060703,CAJAMARCA,HUALGAYOC,HUALGAYOC,17143,0.45264911176588,0.50226876,0.2959355,0.214280987360201,0.0667725497981603,0.14201575011581,0.021991483404305,11565,10720,1803
060801,CAJAMARCA,JAEN,JAEN,101355,0.580323994682938,0.21682199,0.04367402,0.112646437182034,0.0550380763225813,0.230529032532155,0.0152138523013172,97802,86202,12328
060802,CAJAMARCA,JAEN,BELLAVISTA,15493,0.482352510115578,0.53206402,0.1352848,0.1556289247103,0.00725059882177769,0.123648604907102,0.0232363002646356,9889,7153,877
060803,CAJAMARCA,JAEN,CHONTALI,10324,0.329492632296973,0.60476934,0.139597,0.179714576962283,0.0465851172273191,0.112844036697248,0.0235373886090663,7047,6076,400
060804,CAJAMARCA,JAEN,COLASAY,10669,0.318668137159173,0.54653779,0.3812902,0.18568079703067,0.00537214299667904,0.115647587419418,0.0268066360483644,5600,5072,629
060805,CAJAMARCA,JAEN,HUABAL,7117,0.369278464282696,0.6872443,0.3712538,0.193404867835645,0.00876733839309081,0.0783826223501701,0.0233244344527188,3975,3358,154
060806,CAJAMARCA,JAEN,LAS PIRIAS,4088,0.322475110702148,0.42393313,0.4426865,0.205380116959064,0.0016374269005848,0.0907602339181287,0.0276418786692759,2091,1787,109
060807,CAJAMARCA,JAEN,POMAHUACA,10166,0.326689565823456,0.54820963,0.4662722,0.216802492809204,0.0687919463087248,0.0944391179290508,0.0183946488294314,4531,3815,598
