Ano;Departamentos;Distritos;provincia;Región natural;Maxepi Week;Semana;Maxyear;Muerte Mat;Geometría;Mmaterna1;Mmaterna2
2017;APURIMAC;CHALLHUAHUACHO;COTABAMBAS;SIERRA;16;12;2021;1;Polygon;;1
2021;APURIMAC;CHALLHUAHUACHO;COTABAMBAS;SIERRA;16;3;2021;1;Polygon;1;
2014;APURIMAC;ANCO-HUALLO;CHINCHEROS;SIERRA;16;21;2021;1;Polygon;1;
2012;APURIMAC;CHUQUIBAMBILLA;GRAU;SIERRA;16;8;2021;1;Polygon;;1
2012;APURIMAC;PROGRESO;GRAU;SIERRA;16;36;2021;1;Polygon;1;
2021;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;4;2021;1;Polygon;;1
2019;AYACUCHO;SARA SARA;PAUCAR DEL SARA SARA;SIERRA;16;46;2021;1;Polygon;1;
2019;AREQUIPA;CABANACONDE;CAYLLOMA;SIERRA;16;45;2021;1;Polygon;;1
2019;AREQUIPA;MIRAFLORES;AREQUIPA;SIERRA;16;45;2021;1;Polygon;1;
2019;AREQUIPA;QUICACHA;CARAVELI;SIERRA;16;16;2021;1;Polygon;;1
2019;MOQUEGUA;MOQUEGUA;MARISCAL NIETO;COSTA;16;15;2021;1;Polygon;;1
2018;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;43;2021;1;Polygon;1;
2018;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;32;2021;1;Polygon;;1
2018;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;30;2021;1;Polygon;;1
2017;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;42;2021;1;Polygon;;1
2017;AREQUIPA;CAYMA;AREQUIPA;SIERRA;16;4;2021;1;Polygon;;1
2016;AREQUIPA;YANAHUARA;AREQUIPA;SIERRA;16;50;2021;1;Polygon;;1
2016;MOQUEGUA;ILO;ILO;COSTA;16;49;2021;1;Polygon;;1
2016;CUSCO;ESPINAR;ESPINAR;SIERRA;16;23;2021;1;Polygon;1;
2016;AREQUIPA;PAUCARPATA;AREQUIPA;SIERRA;16;1;2021;1;Polygon;;1
2016;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;5;2021;1;Polygon;;1
2016;AREQUIPA;CERRO COLORADO;AREQUIPA;SIERRA;16;25;2021;1;Polygon;1;
2015;AREQUIPA;MAJES;CAYLLOMA;COSTA;16;26;2021;1;Polygon;;1
2015;AREQUIPA;OCOÑA;CAMANA;COSTA;16;43;2021;1;Polygon;1;
2015;AREQUIPA;SACHACA;AREQUIPA;SIERRA;16;10;2021;1;Polygon;1;
2015;AREQUIPA;CAYMA;AREQUIPA;SIERRA;16;20;2021;1;Polygon;1;
